ts,y
2022-01-29 15:54:00+00:00,1
2022-01-29 15:55:00+00:00,1
2022-01-29 15:56:00+00:00,1
2022-01-29 15:57:00+00:00,1
2022-01-29 15:58:00+00:00,1
2022-01-29 15:59:00+00:00,1
2022-01-29 16:00:00+00:00,1
2022-01-30 04:05:00+00:00,-1
2022-01-30 04:06:00+00:00,-1
2022-01-30 04:07:00+00:00,-1
2022-01-30 04:08:00+00:00,1
2022-01-30 04:09:00+00:00,1
2022-01-30 04:10:00+00:00,1
2022-01-30 04:11:00+00:00,1
2022-01-30 04:12:00+00:00,1
2022-01-30 04:13:00+00:00,1
2022-01-30 04:14:00+00:00,1
2022-01-30 04:15:00+00:00,-1
2022-01-30 04:21:00+00:00,1
2022-01-30 04:22:00+00:00,1
2022-01-30 04:23:00+00:00,1
2022-01-30 04:24:00+00:00,1
2022-01-30 04:25:00+00:00,1
2022-01-30 04:26:00+00:00,1
2022-01-30 04:27:00+00:00,1
2022-01-30 04:28:00+00:00,1
2022-01-30 04:29:00+00:00,1
2022-01-30 04:30:00+00:00,1
2022-01-30 04:31:00+00:00,1
2022-01-30 04:32:00+00:00,1
2022-01-30 04:33:00+00:00,1
2022-01-30 04:35:00+00:00,1
2022-01-30 04:36:00+00:00,1
2022-01-30 04:37:00+00:00,1
2022-01-30 04:38:00+00:00,1
2022-01-30 04:39:00+00:00,1
2022-01-30 04:40:00+00:00,1
2022-01-30 04:41:00+00:00,1
2022-01-30 04:42:00+00:00,1
2022-01-30 04:43:00+00:00,1
2022-01-30 04:44:00+00:00,-1
2022-01-30 04:45:00+00:00,-1
2022-01-30 04:46:00+00:00,1
2022-01-30 04:47:00+00:00,1
2022-01-30 04:48:00+00:00,1
2022-01-30 04:49:00+00:00,1
2022-01-30 04:50:00+00:00,1
2022-02-01 19:54:00+00:00,-1
2022-02-01 19:55:00+00:00,-1
2022-02-01 19:56:00+00:00,-1
2022-02-01 19:57:00+00:00,-1
2022-02-02 06:46:00+00:00,-1
2022-02-02 06:47:00+00:00,-1
2022-02-02 06:48:00+00:00,-1
2022-02-02 06:49:00+00:00,-1
2022-02-02 06:50:00+00:00,-1
2022-02-02 06:51:00+00:00,-1
2022-02-02 06:52:00+00:00,-1
2022-02-02 06:53:00+00:00,1
2022-02-02 06:54:00+00:00,1
2022-02-02 06:55:00+00:00,1
2022-02-02 06:56:00+00:00,1
2022-02-02 06:57:00+00:00,1
2022-02-02 06:58:00+00:00,-1
2022-02-02 06:59:00+00:00,-1
2022-02-02 07:00:00+00:00,-1
2022-02-02 07:01:00+00:00,-1
2022-02-02 07:02:00+00:00,1
2022-02-02 07:03:00+00:00,1
2022-02-02 07:04:00+00:00,1
2022-02-02 07:05:00+00:00,-1
2022-02-02 07:06:00+00:00,-1
2022-02-02 07:07:00+00:00,-1
2022-02-02 07:08:00+00:00,-1
2022-02-02 07:09:00+00:00,-1
2022-02-02 14:49:00+00:00,-1
2022-02-03 19:20:00+00:00,-1
2022-02-03 19:53:00+00:00,1
2022-02-03 19:54:00+00:00,1
2022-02-03 19:55:00+00:00,-1
2022-02-03 19:56:00+00:00,-1
2022-02-03 19:57:00+00:00,1
2022-02-03 19:58:00+00:00,-1
